username,date,merchant,category,amount,recurring
jane_smith,2026-01-14,Hulu,Subscription,-14.99,true
jane_smith,2026-01-15,True Food Kitchen,Dining,-65.40,false
jane_smith,2026-01-16,Apple Music,Subscription,-10.99,true
jane_smith,2026-01-17,Whole Foods,Groceries,-178.90,false
jane_smith,2026-01-18,Chevron,Transportation,-75.50,false
jane_smith,2026-01-19,Macy's,Shopping,-189.00,false
jane_smith,2026-01-20,Walgreens,Health,-38.75,false
jane_smith,2026-01-21,Bloomingdale's,Shopping,-425.00,false
jane_smith,2026-01-22,Zoom Pro,Subscription,-14.99,true
jane_smith,2026-01-23,Postmates,Dining,-48.50,false
jane_smith,2026-01-24,Shell Gas Station,Transportation,-71.00,false
jane_smith,2026-01-25,Lululemon,Shopping,-198.00,false
jane_smith,2026-01-26,LinkedIn Premium,Subscription,-29.99,true
jane_smith,2026-01-27,Blue Bottle Coffee,Dining,-22.50,false
jane_smith,2026-01-28,Grubhub,Dining,-42.50,false
jane_smith,2026-01-29,Whole Foods,Groceries,-198.65,false
jane_smith,2026-01-30,Chevron,Transportation,-73.00,false
jane_smith,2026-01-31,SoulCycle,Health,-38.00,false
jane_smith,2026-02-01,Shell Gas Station,Transportation,-69.50,false
jane_smith,2026-02-02,Erewhon Market,Groceries,-267.30,false
jane_smith,2026-02-03,Starbucks,Dining,-16.75,false
jane_smith,2026-02-04,Disney Plus,Subscription,-13.99,true
jane_smith,2026-02-05,Nordstrom,Shopping,-345.00,false
jane_smith,2026-02-06,Chevron,Transportation,-72.50,false
jane_smith,2026-02-07,The Cheesecake Factory,Dining,-85.60,false
jane_smith,2026-02-08,CVS Pharmacy,Health,-48.90,false
jane_smith,2026-02-09,Sephora,Shopping,-178.45,false
jane_smith,2026-02-10,Shell Gas Station,Transportation,-74.00,false
jane_smith,2026-02-11,Whole Foods,Groceries,-189.75,false
jane_smith,2026-02-12,Starbucks,Dining,-15.25,false
jane_smith,2026-02-13,Apple Store,Electronics,-1299.00,false
jane_smith,2026-02-14,Hulu,Subscription,-14.99,true
jane_smith,2026-02-15,Nobu,Dining,-285.00,false
jane_smith,2026-02-16,Apple Music,Subscription,-10.99,true
jane_smith,2026-02-17,Lululemon,Shopping,-225.00,false
jane_smith,2026-02-18,Chevron,Transportation,-76.00,false
jane_smith,2026-02-19,Bloomingdale's,Shopping,-467.00,false
jane_smith,2026-02-20,Walgreens,Health,-42.60,false
jane_smith,2026-02-21,Shell Gas Station,Transportation,-70.50,false
jane_smith,2026-02-22,Zoom Pro,Subscription,-14.99,true
jane_smith,2026-02-23,DoorDash,Dining,-55.75,false
jane_smith,2026-02-24,Whole Foods,Groceries,-212.40,false
jane_smith,2026-02-25,SoulCycle,Health,-38.00,false
jane_smith,2026-02-26,LinkedIn Premium,Subscription,-29.99,true
